delito,x,y,porcentaje
1,-103.2657844,20.60736068,20
4,-103.3884526,20.64080644,80
4,-103.3195313,20.69633588,80
1,-103.469204,20.64720503,20
1,-103.3813884,20.65801651,20
3,-103.3590863,20.6476402,60
4,-103.3766152,20.63885806,80
3,-103.4358274,20.65079918,60
5,-103.2616885,20.61575627,100
1,-103.4159197,20.74077955,20
3,-103.2567237,20.62290546,60
4,-103.3482854,20.67454994,80
1,-103.3403926,20.66457653,20
4,-103.3485213,20.62295368,80
3,-103.3042619,20.67735687,60
1,-103.3477242,20.68191543,20
1,-103.3407653,20.67525909,20
4,-103.247364,20.65431726,80
1,-103.3522021,20.71303124,20
2,-103.3311333,20.70753759,40
4,-103.2924989,20.68002976,80
2,-103.3562702,20.70710772,40
3,-103.3883751,20.6210378,60
5,-103.3515953,20.6070983,100
3,-103.289652,20.64840975,60
4,-103.3674228,20.63289705,80
4,-103.35674,20.57645226,80
4,-103.2706146,20.68480547,80
4,-103.3186199,20.69967363,80
1,-103.3870379,20.63378689,20
1,-103.3608864,20.73371471,20
4,-103.4016217,20.6528073,80
1,-103.3241114,20.66578416,20
4,-103.3601259,20.70742813,80
1,-103.3827372,20.63275589,20
1,-103.3990806,20.6507693,20
3,-103.3154698,20.62055259,60
3,-103.3119982,20.73805713,60
1,-103.3090653,20.67416111,20
1,-103.458641,20.62496977,20
1,-103.3351619,20.6302843,20
3,-103.3534426,20.70259872,60
3,-103.396864,20.6369268,60
3,-103.2978152,20.66545542,60
3,-103.3692435,20.63539181,60
1,-103.4147685,20.6242204,20
4,-103.3624134,20.57780386,80
4,-103.4243574,20.66955662,80
4,-103.318265,20.61590067,80
1,-103.2972941,20.63378844,20
3,-103.3874455,20.70330008,60
4,-103.3257381,20.6433959,80
1,-103.4466774,20.67388744,20
2,-103.309709,20.62525675,40
1,-103.3811067,20.6395332,20
3,-103.3592439,20.73108847,60
4,-103.2345039,20.65270476,80
3,-103.4278637,20.6468876,60
1,-103.3748133,20.66897807,20
4,-103.4062157,20.60240732,80
4,-103.4443609,20.68645017,80
1,-103.4252821,20.67296163,20
4,-103.2661881,20.6276346,80
4,-103.4286766,20.65275771,80
2,-103.4116134,20.63514895,40
3,-103.2872348,20.69610383,60
1,-103.3102901,20.65079654,20
3,-103.3651218,20.69618036,60
4,-103.3320088,20.72201523,80
1,-103.292609,20.6116384,20
2,-103.2273956,20.64502784,40
4,-103.4469427,20.62982439,80
1,-103.3774706,20.77919275,20
3,-103.3453917,20.68362082,60
3,-103.3783637,20.64514414,60
1,-103.3386102,20.68681987,20
